模型,類型,測試準確率(%),F1分數(%),精確率(%),召回率(%),驗證準確率(%),訓練時間(秒),5-fold CV
K-Nearest Neighbors,ML,100.0,100.0,100.0,100.0,95.0,0.0,98.38+/-1.32
Logistic Regression,ML,97.5,97.5,97.75,97.5,95.0,0.0055,97.30+/-2.96
Random Forest,ML,97.5,97.5,97.75,97.5,95.0,0.0471,97.84+/-2.02
DNN (PyTorch),DL,97.5,97.5,97.73,97.5,97.5,1.8844,-
SVM (RBF),ML,95.0,95.0,95.48,95.0,95.0,0.002,98.38+/-2.16
SVM (Linear),ML,95.0,94.99,95.23,95.0,95.0,0.001,97.84+/-1.08
Gradient Boosting,ML,95.0,94.99,95.21,95.0,95.0,0.2107,95.68+/-2.76
Decision Tree,ML,92.5,92.33,92.62,92.5,95.0,0.001,90.27+/-3.67
AdaBoost,ML,92.5,92.46,93.62,92.5,95.0,0.0546,84.86+/-18.54
